Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
OCO	OCO240110:FM:PS:TS:	Field Msr/Obs	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.1	deg C		2550	APHA			
OCO	OCO240110:FM:PS:DO:	Field Msr/Obs	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.85	mg/l		8157	HACH			
OCO	OCO240110:FM:PS:DO:	Field Msr/Obs	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			86.1	%		8157	HACH			
OCO	OCO240110:FM:WB:	Field Msr/Obs	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			6.09	NTU		180.1	USEPA			
OCO	OCO240110:FM:PS:PH:	Field Msr/Obs	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			7.94	None		8156	HACH			
OCO	OCO240110:FM:PS:TS:	Field Msr/Obs	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
OCO	OCO240110:SR:WB:	Sample-Routine	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		125.29	ug/l	Filtered, field	4500-N	APHA			
OCO	OCO240110:SR:WB:	Sample-Routine	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		13.73	ug/l	Filtered, field	4500-P	APHA			
OCO	OCO240110:SR:WB:	Sample-Routine	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		10.09	ug/l	Filtered, field	365.5	USEPA			
OCO	OCO240110:SR:WB:	Sample-Routine	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			276.02	ug/l	Filtered, field	366.0	USEPA			
OCO	OCO240110:SR:WB:	Sample-Routine	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		25.35	ug/l	Filtered, field	353.4	USEPA			
OCO	OCO240110:SR:WB:	Sample-Routine	01/10/2024	09:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		6.16	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
OMM	OMM240110:FM:PS:TS:	Field Msr/Obs	01/10/2024	09:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.2	deg C		2550	APHA			
OMM	OMM240110:FM:PS:DO:	Field Msr/Obs	01/10/2024	09:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.23	mg/l		8157	HACH			
OMM	OMM240110:FM:PS:DO:	Field Msr/Obs	01/10/2024	09:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			77.0	%		8157	HACH			
